rank,ticker,name,bucket,tag,composite,class,F1_rev_per_emp,F2_op_margin,F3_gross_margin,F4_emp_density,F5_fcf_drag,rev_per_emp_$,op_margin,gross_margin,employees,revenue_$M,market_cap_$M,rev_growth,how
130,HSII,HSII,Executive Search,KNOW_WORKER,,NO_DATA,,,,,,,,,,,,,Pure exec search — sourcing agents replace researchers
131,FI,FI,Bank Tech,BACKOFFICE,,NO_DATA,,,,,,,,,,,,,Fiserv — large payment + bank back-office
132,OMI,OMI,Healthcare Distrib,BACKOFFICE,,NO_DATA,,,,,,,,,,,,,Distribution + back office
133,MMC,MMC,Insurance Broker,BACKOFFICE,,NO_DATA,,,,,,,,,,,,,Brokerage admin + advisory; agentic policy mgmt
134,CMA,CMA,Regional Bank,BACKOFFICE,,NO_DATA,,,,,,,,,,,,,Same
135,IPG,IPG,Ad Agency,KNOW_WORKER,,NO_DATA,,,,,,,,,,,,,Same; consolidating w/ OMC
136,GCI,GCI,Publisher,KNOW_WORKER,,NO_DATA,,,,,,,,,,,,,Gannett — newsroom labor
137,RDFN,RDFN,Real Estate,CS_INTENSITY,,NO_DATA,,,,,,,,,,,,,Redfin — agent + ops labor
138,MAXR,MAXR,Gov BPO,CS_INTENSITY,,NO_DATA,,,,,,,,,,,,,MAXIMUS — government BPO (Medicare/Medicaid call center)
139,EVRI,EVRI,Gaming Tech,BACKOFFICE,,NO_DATA,,,,,,,,,,,,,Field-service + back office
140,DFS,DFS,Cards,BACKOFFICE,,NO_DATA,,,,,,,,,,,,,Same
